"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2.4. Afloramento Rochoso","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.574401904296875","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437","0.4923442749023437"
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","3324.810508062932","3274.339668396142","3268.677041638328","3247.586628527987","3215.4969342836275","3071.7180220154896","2969.0549225099153","2872.132140301631","2787.77075385138","2662.048604559367","2596.3152048889287","2599.0268219787986","2535.921342242434","2550.857452075204","2516.88773218992","2463.3019816833125","2409.3829622558105","2379.59204931027","2270.029566827367","2262.1492783446993","2257.305851959216","2251.7230990539497","2240.806435064705","2204.122986193846","2211.1782498474386","2111.1369520019352","2090.947838592524","2100.8786618163967","2094.559369891348","2086.9266896301165","2080.687937377943","2026.441948822005","2011.0121294799508","2010.763532812452","1990.0004121703694","1988.3586984740823","1961.1969431151915","1927.7927126708619","1910.3900623962118"
"3.1. Pastagem","496.1640787780838","441.01914455566913","363.22296230469016","325.14584547729595","261.9553756286629","203.35992453613267","195.97256993408214","203.68420242309563","168.7222378723142","148.20516420288058","108.81460202026385","65.81286802978508","51.9442143432615","59.08403728027327","74.75847161865241","108.4868341552734","126.29431066894499","124.57105962524358","116.20076898803669","104.95738155517536","91.74489171752894","87.313532269287","78.77885816650367","61.21833276367165","56.7049128173826","49.2372624450682","53.66852742309549","54.572290490722416","50.7972829406736","50.387206622314174","54.982495281982146","63.43517671508755","75.74396604003901","95.68433032836944","100.77252954711939","93.14131876831082","73.36512368164058","62.12289714965782","58.92263750610319"
"3.2. Agricultura","2.4622448242187502","2.4622448242187502","1.3953029785156248","0.8207847534179689","0.08207860717773437","","","0.9848888305664062","4.349108251953126","8.12384683227539","8.12384683227539","8.78044133300781","6.647117480468749","4.2673727233886725","4.431507659912111","4.267406964111328","6.237300872802733","7.71461301269531","11.900282281494144","21.58363218994141","23.306595587158185","26.83518988037108","28.640774243164064","28.23107565307617","29.21632758789063","25.933331597900384","29.95516146850578","28.560164605712924","29.381117755126983","29.463133850097698","27.821584826660178","28.88823809814455","30.77591483154293","32.17089828491211","32.33498632202151","30.693697271728542","29.873159033203144","48.41803254394534","47.26918649902348"
"3.2.1. Lavoura Temporária","2.4622448242187502","2.4622448242187502","1.3953029785156248","0.8207847534179689","0.08207860717773437","","","0.9848888305664062","4.349108251953126","8.12384683227539","8.12384683227539","8.78044133300781","6.647117480468749","4.2673727233886725","4.431507659912111","4.267406964111328","6.237300872802733","7.71461301269531","11.900282281494144","21.58363218994141","23.306595587158185","26.83518988037108","28.640774243164064","28.23107565307617","29.21632758789063","25.933331597900384","29.95516146850578","28.560164605712924","29.381117755126983","29.463133850097698","27.821584826660178","28.88823809814455","30.77591483154293","32.17089828491211","32.33498632202151","30.693697271728542","29.873159033203144","48.41803254394534","47.26918649902348"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","2.133876068115233","2.872497509765624","3.7753414001464827","2.215927557373047","0.08208026123046874","","","","","0.4924440856933593","0.6566110595703124","2.216019952392578","5.416974304199218","5.499087231445313","3.365149713134765","2.708541632080078","2.051925457763672","6.976232769775387","5.006392333984374","4.18569977416992","4.021589318847655","4.021589318847655","4.021589318847655"
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
